source,target,flood_intensity
101,103,3.4
103,104,3.4
104,106,3.4
106,107,3.4
107,108,3.4
108,109,3.4
109,110,3.4
110,111,3.4
111,112,3.4
112,113,3.4
113,114,3.4
114,115,3.4
115,116,3.4
116,117,3.4
117,118,3.4
118,119,3.4
119,120,3.7
120,121,4.0
121,122,4.0
122,123,4.0
123,124,4.0
124,125,4.0
125,126,4.0
126,127,4.0
127,128,4.0
128,129,4.0
129,130,4.0
130,131,4.0
131,132,4.0
132,133,4.0
133,134,4.0
134,135,4.0
135,136,4.0
136,137,4.0
137,138,4.0
138,139,4.0
139,142,4.0
142,139,4.0
139,138,4.0
138,137,4.0
137,136,4.0
136,135,4.0
135,134,4.0
134,133,4.0
133,132,4.0
132,131,4.0
131,130,4.0
130,129,4.0
129,128,4.0
128,127,4.0
127,126,4.0
126,125,4.0
125,124,4.0
124,123,4.0
123,122,4.0
122,121,4.0
121,120,4.0
120,119,3.7
119,118,3.4
118,117,3.4
117,116,3.4
116,115,3.4
115,114,3.4
114,113,3.4
113,112,3.4
112,111,3.4
111,110,3.4
110,109,3.4
109,108,3.4
108,107,3.4
107,106,3.4
106,104,3.4
104,103,3.4
103,101,3.4
201,204,3.4
204,205,3.4
205,206,3.4
206,207,3.4
207,208,3.4
208,209,3.4
209,210,3.4
210,211,3.4
211,212,3.4
212,213,3.4
213,214,3.4
214,215,3.4
215,216,3.4
216,217,3.4
217,218,3.4
218,219,3.4
219,220,3.4
220,221,3.4
221,222,3.4
222,224,3.4
224,225,3.4
225,226,3.4
226,227,3.4
227,120,3.7
137,228,4.0
228,229,4.0
229,230,4.0
230,231,4.0
231,232,4.0
232,233,4.0
233,234,4.0
234,235,4.0
235,236,4.2
236,237,4.4
237,238,4.4
238,239,4.4
239,241,4.4
241,242,4.4
242,243,4.4
243,244,4.4
244,245,4.4
245,246,4.4
246,247,4.4
247,246,4.4
246,245,4.4
245,244,4.4
244,243,4.4
243,242,4.4
242,241,4.4
241,239,4.4
239,238,4.4
238,237,4.4
237,236,4.4
236,235,4.2
235,234,4.0
234,233,4.0
233,232,4.0
232,231,4.0
231,230,4.0
230,229,4.0
229,228,4.0
228,137,4.0
120,227,3.7
227,226,3.4
226,225,3.4
225,224,3.4
224,222,3.4
222,221,3.4
221,220,3.4
220,219,3.4
219,218,3.4
218,217,3.4
217,216,3.4
216,215,3.4
215,214,3.4
214,213,3.4
213,212,3.4
212,211,3.4
211,210,3.4
210,209,3.4
209,208,3.4
208,207,3.4
207,206,3.4
206,205,3.4
205,204,3.4
204,201,3.4
120,123,4.0
123,127,4.0
128,132,4.0
132,137,4.0
137,132,4.0
132,128,4.0
127,123,4.0
123,120,4.0
239,248,4.4
248,249,4.4
249,250,4.4
250,251,4.4
251,252,4.4
252,253,4.4
253,254,4.4
254,255,4.4
255,256,4.4
256,257,4.4
257,256,4.4
256,255,4.4
255,254,4.4
254,253,4.4
253,252,4.4
252,251,4.4
251,250,4.4
250,249,4.4
249,248,4.4
248,239,4.4
301,302,3.4
302,224,3.4
224,302,3.4
302,301,3.4
401,402,3.4
402,405,3.4
405,406,3.4
406,407,3.4
407,408,3.4
408,409,3.4
409,410,3.4
410,411,3.4
411,412,3.4
412,413,3.4
413,414,3.4
414,415,3.4
415,416,3.4
416,621,3.4
621,626,3.7
626,629,4.0
629,631,4.0
631,635,4.0
635,640,4.0
640,418,4.0
418,419,4.0
419,420,4.0
420,423,4.0
423,234,4.0
621,622,3.4
622,623,3.4
623,624,3.4
624,625,3.4
